date,name,ticker,amount,type
05/22/2014,John F Reed,ACT,"$1,001 - $15,000",Purchase
05/29/2014,Sheldon Whitehouse,RTN,"$1,001 - $15,000",Purchase
05/29/2014,Sheldon Whitehouse,ORCL,"$1,001 - $15,000",Purchase
05/29/2014,Sheldon Whitehouse,UL,"$1,001 - $15,000",Purchase
05/29/2014,Sheldon Whitehouse,CHL,"$1,001 - $15,000",Purchase
05/29/2014,Sheldon Whitehouse,SSYS,"$1,001 - $15,000",Purchase
06/12/2014,Patrick J Toomey,DBP,"$15,001 - $50,000",Purchase
06/12/2014,Patrick J Toomey,VIXY,"$15,001 - $50,000",Purchase
06/12/2014,Patrick J Toomey,PFS,"$250,001 - $500,000",Exchange
06/11/2014,Patrick J Toomey,LGP,"$15,001 - $50,000",Purchase
06/05/2014,Patrick J Toomey,GLD,"$1,001 - $15,000",Sale (Partial)
06/05/2014,Patrick J Toomey,PPL,"$15,001 - $50,000",Sale (Partial)
06/24/2014,Patrick J Toomey,AMLP,"$15,001 - $50,000",Purchase
06/19/2014,Susan M Collins,LMGEX,"$15,001 - $50,000",Sale (Full)
06/19/2014,Susan M Collins,WY,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,WCN,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,WMT,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,UPS,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,TCAP,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,SRCL,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,SBGI,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,ROP,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,ROC,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,PG,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,PX,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,PNM,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,PRGO,"$1,001 - $15,000",Purchase
06/19/2014,Susan M Collins,PRE,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,OXY,"$1,001 - $15,000",Sale (Full)
06/19/2014,Susan M Collins,MCHP,"$1,001 - $15,000",Purchase
