,date,name,ticker,amount,type
3800,07/24/2018,Pat Roberts,BAC,"$1,001 - $15,000",Sale (Full)
3801,07/18/2018,Pat Roberts,TGT,"$1,001 - $15,000",Sale (Full)
3802,07/18/2018,Pat Roberts,BAC,"$1,001 - $15,000",Sale (Partial)
3803,07/05/2018,Pat Roberts,TGT,"$1,001 - $15,000",Purchase
3804,07/05/2018,Pat Roberts,BAC,"$1,001 - $15,000",Purchase
3805,07/27/2018,John F Reed,UNFI,"$1,001 - $15,000",Sale (Full)
3806,07/31/2018,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
3807,07/30/2018,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Sale (Partial)
3808,07/30/2018,"David A Perdue , Jr",CBS,"$15,001 - $50,000",Purchase
3809,07/27/2018,"David A Perdue , Jr",AXTA,"$1,001 - $15,000",Purchase
3810,07/25/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3811,07/25/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3812,07/25/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3813,07/25/2018,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
3814,07/25/2018,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
3815,07/20/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3816,07/19/2018,"David A Perdue , Jr",SBUX,"$15,001 - $50,000",Sale (Full)
3817,07/17/2018,"David A Perdue , Jr",GPK,"$1,001 - $15,000",Sale (Partial)
3818,07/17/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3819,07/16/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3820,07/20/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3821,07/19/2018,"David A Perdue , Jr",NFLX,"$15,001 - $50,000",Purchase
3822,07/17/2018,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
3823,07/16/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3824,07/18/2017,"David A Perdue , Jr",CDLX,"$1,000,001 - $5,000,000",Purchase
3825,07/10/2018,"David A Perdue , Jr",AVP,"$1,001 - $15,000",Purchase
3826,07/13/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3827,07/13/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3828,07/13/2018,"David A Perdue , Jr",RF,"$1,001 - $15,000",Purchase
3829,07/12/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3830,07/12/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3831,07/11/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3832,07/10/2018,"David A Perdue , Jr",DISCA,"$1,001 - $15,000",Sale (Partial)
3833,07/11/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3834,07/11/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3835,07/10/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3836,07/06/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3837,07/31/2018,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
3838,07/30/2018,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Sale (Partial)
3839,07/30/2018,"David A Perdue , Jr",CBS,"$15,001 - $50,000",Purchase
3840,07/27/2018,"David A Perdue , Jr",AXTA,"$1,001 - $15,000",Purchase
3841,07/25/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3842,07/25/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3843,07/25/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3844,07/25/2018,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
3845,07/25/2018,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
3846,07/20/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3847,07/19/2018,"David A Perdue , Jr",SBUX,"$15,001 - $50,000",Sale (Full)
3848,07/17/2018,"David A Perdue , Jr",GPK,"$1,001 - $15,000",Sale (Partial)
3849,07/17/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3850,07/16/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3851,07/20/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3852,07/19/2018,"David A Perdue , Jr",NFLX,"$15,001 - $50,000",Purchase
3853,07/17/2018,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
3854,07/16/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3855,07/18/2018,"David A Perdue , Jr",CDLX,"$1,000,001 - $5,000,000",Purchase
3856,07/13/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3857,07/13/2018,"David A Perdue , Jr",LYV,"$1,001 - $15,000",Sale (Partial)
3858,07/13/2018,"David A Perdue , Jr",RF,"$1,001 - $15,000",Purchase
3859,07/12/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3860,07/12/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3861,07/11/2018,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
3862,07/10/2018,"David A Perdue , Jr",DISCA,"$1,001 - $15,000",Sale (Partial)
3863,07/10/2018,"David A Perdue , Jr",AVP,"$1,001 - $15,000",Purchase
3864,07/11/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3865,07/11/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3866,07/10/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3867,07/06/2018,"David A Perdue , Jr",GM,"$1,001 - $15,000",Purchase
3868,07/26/2018,John Hoeven,WTW,"$100,001 - $250,000",Purchase
3869,07/27/2018,Patrick J Toomey,REVB,"$15,001 - $50,000",Sale (Partial)
3870,07/03/2018,Patrick J Toomey,GLD,"$15,001 - $50,000",Sale (Partial)
3871,12/21/2017,Ladda Tammy Duckworth,BBL,"$1,001 - $15,000",Sale (Full)
3872,07/09/2018,Sheldon Whitehouse,MCHP,"$15,001 - $50,000",Sale (Partial)
3873,07/09/2018,Sheldon Whitehouse,MCHP,"$15,001 - $50,000",Sale (Partial)
3874,09/01/2017,Ladda Tammy Duckworth,"--
DWDP","$1,001 - $15,000",Exchange
3875,09/20/2017,Sheldon Whitehouse,GILD,"$1,001 - $15,000",Sale (Full)
