,date,name,ticker,amount,type
189,05/07/2014,Susan M Collins,SE,"$15,001 - $50,000",Purchase
190,05/07/2014,Susan M Collins,RPM,"$1,001 - $15,000",Sale (Full)
191,05/07/2014,Susan M Collins,RHHBY,"$15,001 - $50,000",Purchase
192,05/07/2014,Susan M Collins,QCOM,"$15,001 - $50,000",Purchase
193,05/07/2014,Susan M Collins,PEP,"$15,001 - $50,000",Purchase
194,05/07/2014,Susan M Collins,PWE,"$1,001 - $15,000",Sale (Full)
195,05/07/2014,Susan M Collins,PACW,"$1,001 - $15,000",Sale (Full)
196,05/07/2014,Susan M Collins,ORCL,"$1,001 - $15,000",Sale (Full)
197,05/07/2014,Susan M Collins,OHI,"$1,001 - $15,000",Sale (Full)
198,05/07/2014,Susan M Collins,NEE,"$1,001 - $15,000",Sale (Full)
199,05/07/2014,Susan M Collins,NWL,"$1,001 - $15,000",Sale (Full)
200,05/07/2014,Susan M Collins,MGRC,"$1,001 - $15,000",Sale (Full)
201,05/07/2014,Susan M Collins,MXIM,"$1,001 - $15,000",Sale (Full)
202,05/07/2014,Susan M Collins,M,"$1,001 - $15,000",Sale (Full)
203,05/07/2014,Susan M Collins,MTSC,"$1,001 - $15,000",Sale (Full)
204,05/07/2014,Susan M Collins,LDR,"$1,001 - $15,000",Sale (Full)
205,05/07/2014,Susan M Collins,JCOM,"$1,001 - $15,000",Sale (Full)
206,05/07/2014,Susan M Collins,IP,"$1,001 - $15,000",Sale (Full)
207,05/07/2014,Susan M Collins,IEX,"$1,001 - $15,000",Sale (Full)
208,05/07/2014,Susan M Collins,HMC,"$1,001 - $15,000",Sale (Full)
209,05/07/2014,Susan M Collins,HTS,"$1,001 - $15,000",Sale (Full)
210,05/07/2014,Susan M Collins,HAS,"$1,001 - $15,000",Sale (Full)
211,05/07/2014,Susan M Collins,HNI,"$1,001 - $15,000",Sale (Full)
212,05/07/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Full)
213,05/07/2014,Susan M Collins,FLY,"$1,001 - $15,000",Sale (Full)
214,05/07/2014,Susan M Collins,FMER,"$1,001 - $15,000",Sale (Full)
215,05/07/2014,Susan M Collins,FFBC,"$1,001 - $15,000",Sale (Full)
216,05/07/2014,Susan M Collins,FB,"$1,001 - $15,000",Sale (Full)
217,05/07/2014,Susan M Collins,ESRX,"$1,001 - $15,000",Purchase
218,05/07/2014,Susan M Collins,DIS,"$1,001 - $15,000",Purchase
