date,name,ticker,amount,type
2025-06-18,Shelley M Capito,WFC,"$1,001 - $15,000",Sale (Full)
2025-06-18,Shelley M Capito,MSFT,"$1,001 - $15,000",Sale (Partial)
2025-06-18,Shelley M Capito,XOM,"$1,001 - $15,000",Sale (Partial)
2025-06-18,Shelley M Capito,C,"$1,001 - $15,000",Sale (Partial)
2025-06-03,Ron L Wyden,PFE,"$1,001 - $15,000",Sale (Full)
2025-06-01,"A. Mitchell McConnell, Jr.",WFC,"$1,001 - $15,000",Purchase
2025-05-08,"Jerry Moran,",GOOG,"$1,001 - $15,000",Purchase
2025-05-08,"Jerry Moran,",GOOG,"$1,001 - $15,000",Purchase
2025-05-08,"Jerry Moran,",GOOG,"$1,001 - $15,000",Purchase
2025-05-08,"Jerry Moran,",GOOG,"$1,001 - $15,000",Purchase
2025-05-13,John Boozman,VLO,"$1,001 - $15,000",Sale (Full)
2025-05-20,John Boozman,NRG,"$1,001 - $15,000",Sale (Partial)
2025-05-20,John Boozman,LOW,"$1,001 - $15,000",Sale (Partial)
2025-05-16,John Boozman,TBLL,"$1,001 - $15,000",Sale (Partial)
2025-05-20,John Boozman,GD,"$1,001 - $15,000",Sale (Partial)
2025-05-30,John Boozman,FBIN,"$1,001 - $15,000",Sale (Full)
2025-05-20,John Boozman,DTE,"$1,001 - $15,000",Sale (Full)
2025-05-30,John Boozman,RTX,"$1,001 - $15,000",Purchase
2025-05-13,John Boozman,NVDA,"$1,001 - $15,000",Purchase
2025-05-30,John Boozman,META,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,META,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,HD,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,HD,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,ATO,"$1,001 - $15,000",Purchase
2025-05-16,John Boozman,AMZN,"$1,001 - $15,000",Purchase
2025-05-20,John Boozman,GOOGL,"$1,001 - $15,000",Purchase
2025-05-08,Shelley M Capito,GOOGL,"$1,001 - $15,000",Purchase
2025-05-19,John W Hickenlooper,LBRDK,"$250,001 - $500,000",Purchase
2025-05-13,Markwayne Mullin,ADBE,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,AMAT,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,CSX,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,CVX,"$50,001 - $100,000",Purchase
2025-05-13,Markwayne Mullin,COP,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,LPLA,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,LHX,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,LRCX,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,SPY,"$500,001 - $1,000,000",Sale (Full)
2025-05-13,Markwayne Mullin,TXN,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,TMO,"$15,001 - $50,000",Purchase
2025-05-13,Markwayne Mullin,VLO,"$50,001 - $100,000",Purchase
2025-05-13,Markwayne Mullin,ZTS,"$50,001 - $100,000",Purchase
2025-05-15,John Fetterman,GOOG,"$1,001 - $15,000",Purchase
2025-05-06,David H McCormick,IJR,"$1,001 - $15,000",Sale (Partial)
2025-05-09,John W Hickenlooper,LBRDK,"$250,001 - $500,000",Sale (Full)
2025-05-09,John W Hickenlooper,LBRDK,"$250,001 - $500,000",Purchase
2025-05-09,John W Hickenlooper,LBRDK,"$100,001 - $250,000",Sale (Full)
2025-05-09,John W Hickenlooper,LBRDK,"$100,001 - $250,000",Purchase
2025-05-09,John W Hickenlooper,FWONK,"$15,001 - $50,000",Sale (Partial)
2025-05-09,John W Hickenlooper,FWONK,"$250,001 - $500,000",Sale (Full)
2025-05-09,John W Hickenlooper,FWONK,"$100,001 - $250,000",Purchase
2025-04-25,John W Hickenlooper,SIRI,"$50,001 - $100,000",Sale (Partial)
2025-04-15,Thomas H Tuberville,BMY,"$1,001 - $15,000",Sale (Full)
2025-04-15,Thomas H Tuberville,PYPL,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,USIG,"$50,001 - $100,000",Purchase
2025-04-15,Thomas H Tuberville,JPM,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,GOOGL,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,AMGN,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,AAPL,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,ADM,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,CSX,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,STZ,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,DUK,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,GS,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,LLY,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,MA,"$15,001 - $50,000",Sale (Full)
2025-04-15,Thomas H Tuberville,MSFT,"$15,001 - $50,000",Sale (Full)
2025-04-22,John Boozman,CRM,"$1,001 - $15,000",Sale (Partial)
2025-04-16,John Boozman,LRCX,"$1,001 - $15,000",Sale (Partial)
2025-04-08,John Boozman,JPM,"$1,001 - $15,000",Sale (Partial)
2025-04-08,John Boozman,IVW,"$1,001 - $15,000",Sale (Full)
2025-04-09,John Boozman,SHY,"$1,001 - $15,000",Sale (Partial)
2025-04-16,John Boozman,GILD,"$1,001 - $15,000",Sale (Full)
2025-04-15,John Boozman,BAC,"$1,001 - $15,000",Sale (Partial)
2025-04-16,John Boozman,AMAT,"$1,001 - $15,000",Sale (Partial)
2025-04-16,John Boozman,UNH,"$1,001 - $15,000",Purchase
2025-04-16,John Boozman,ORCL,"$1,001 - $15,000",Purchase
2025-04-22,John Boozman,MSFT,"$1,001 - $15,000",Purchase
2025-04-16,John Boozman,MSFT,"$1,001 - $15,000",Purchase
2025-04-15,John Boozman,META,"$1,001 - $15,000",Purchase
2025-04-09,John Boozman,HYG,"$1,001 - $15,000",Purchase
2025-04-08,John Boozman,FTGC,"$1,001 - $15,000",Purchase
2025-04-08,John Boozman,AVGO,"$1,001 - $15,000",Purchase
2025-04-03,Sheldon Whitehouse,HON,"$15,001 - $50,000",Sale (Full)
2025-04-11,Sheldon Whitehouse,SBUX,"$1,001 - $15,000",Sale (Partial)
2025-04-14,Sheldon Whitehouse,NVDA,"$15,001 - $50,000",Sale (Partial)
2025-04-11,Sheldon Whitehouse,SBUX,"$1,001 - $15,000",Sale (Partial)
2025-04-14,Sheldon Whitehouse,AAPL,"$15,001 - $50,000",Sale (Partial)
2025-04-14,Sheldon Whitehouse,SBUX,"$15,001 - $50,000",Sale (Partial)
2025-04-29,Sheldon Whitehouse,EL,"$1,001 - $15,000",Sale (Full)
2025-04-08,Markwayne Mullin,COP,"$15,001 - $50,000",Sale (Full)
2025-04-08,Markwayne Mullin,TMO,"$50,001 - $100,000",Sale (Full)
2025-04-08,Markwayne Mullin,TXN,"$15,001 - $50,000",Sale (Full)
2025-04-08,Markwayne Mullin,VLO,"$50,001 - $100,000",Sale (Full)
2025-04-08,Markwayne Mullin,ZTS,"$15,001 - $50,000",Sale (Full)
2025-04-08,Markwayne Mullin,CVX,"$15,001 - $50,000",Sale (Full)
2025-04-08,Markwayne Mullin,LRCX,"$50,001 - $100,000",Sale (Partial)
2025-04-08,Markwayne Mullin,ADBE,"$15,001 - $50,000",Sale (Full)
2025-04-08,Markwayne Mullin,AMAT,"$50,001 - $100,000",Sale (Partial)
2025-04-08,Markwayne Mullin,CSX,"$15,001 - $50,000",Sale (Full)
2025-04-21,John N Kennedy,NLY,"$1,001 - $15,000",Purchase
2025-04-29,Shelley M Capito,GOOGL,"$1,001 - $15,000",Purchase
2025-04-11,Shelley M Capito,TGT,"$1,001 - $15,000",Sale (Full)
2025-04-10,Shelley M Capito,NKE,"$1,001 - $15,000",Sale (Full)
